i	locus_tag	protein_id	gene	match_locus_tag	match_protein_id	match_gene	BBH	HIT
1796	EO946_RS14045	WP_003222517.1	sdhB	BSU_28430	NP_390721.1	sdhB	1	1
1797	EO946_RS14040	WP_003222520.1	NA	BSU_28420	NP_390720.1	ysmA	1	1
1798	EO946_RS14030	WP_003222521.1	NA	BSU_28400	NP_390718.1	ysmB	1	6
1799	EO946_RS14020	WP_003222525.1	NA	BSU_28380	NP_390716.1	gerM	1	1
1800	EO946_RS14015	WP_003222527.1	NA	BSU_28370	NP_390715.1	rph	1	2
1801	EO946_RS14005	WP_003222531.1	NA	BSU_28350	NP_390713.2	ysnB	1	1
1802	EO946_RS13995	WP_003222533.1	NA	BSU_28340	NP_390712.3	ysnF	1	1
1803	EO946_RS13985	WP_003222537.1	NA	BSU_28330	NP_390711.1	ysnE	1	2
1804	EO946_RS13975	WP_003222541.1	ilvB	BSU_28310	NP_390709.1	ilvB	1	4
1805	EO946_RS13970	WP_003222543.1	ilvN	BSU_28300	NP_390708.2	ilvH	1	1
1806	EO946_RS13965	WP_003222549.1	ilvC	BSU_28290	NP_390707.1	ilvC	1	1
1807	EO946_RS13960	WP_003222551.1	NA	BSU_28280	NP_390706.1	leuA	1	1
1808	EO946_RS13955	WP_003222552.1	leuB	BSU_28270	NP_390705.2	leuB	1	3
1809	EO946_RS13950	WP_003222554.1	leuC	BSU_28260	NP_390704.1	leuC	1	2
1810	EO946_RS13945	WP_003222556.1	leuD	BSU_28250	NP_390703.1	leuD	1	1
1811	EO946_RS13940	WP_003222557.1	NA	BSU_28240	NP_390702.2	ysoA	1	1
1812	EO946_RS13935	WP_003222559.1	NA	BSU_28230	NP_390701.1	tig	1	1
1813	EO946_RS13930	WP_003222561.1	clpX	BSU_28220	NP_390700.2	clpX	1	4
1814	EO946_RS13925	WP_003222563.1	lonB	BSU_28210	NP_390699.1	lonB	1	2
1815	EO946_RS13920	WP_003222565.1	lon	BSU_28200	NP_390698.1	lonA	1	1
1816	EO946_RS13915	WP_003222567.1	NA	BSU_28190	NP_390697.1	engB	1	1
1817	EO946_RS13910	WP_003222569.1	NA	BSU_28180	NP_390696.2	ysxD	1	1
1818	EO946_RS13905	WP_003222571.1	NA	BSU_28170	NP_390695.1	hemA	1	1
1819	EO946_RS13900	WP_003222575.1	NA	BSU_28160	NP_390694.2	hemX	1	1
1820	EO946_RS13895	WP_003222577.1	hemC	BSU_28150	NP_390693.1	hemC	1	1
1821	EO946_RS13890	WP_003222580.1	NA	BSU_28140	NP_390692.1	hemD	1	1
1822	EO946_RS13885	WP_003222581.1	hemB	BSU_28130	NP_390691.1	hemB	1	1
1823	EO946_RS13880	WP_003222583.1	hemL	BSU_28120	NP_390690.1	hemL	1	5
1824	EO946_RS13875	WP_003222585.1	NA	BSU_28110	NP_390689.1	spoVID	1	2
1825	EO946_RS13870	WP_003222587.1	ysxE	BSU_28100	NP_390688.1	cotN	1	1
1826	EO946_RS13865	WP_003222590.1	NA	BSU_28099	YP_003097770.1	yszA	1	1
1827	EO946_RS13860	WP_003222594.1	valS	BSU_28090	NP_390687.2	valS	1	3
1828	EO946_RS13855	WP_003222596.1	NA	BSU_28080	NP_390686.1	folC	1	1
1829	EO946_RS13850	WP_003222598.1	NA	BSU_28070	NP_390685.2	comC	1	1
1830	EO946_RS13845	WP_003222600.1	NA	BSU_28060	NP_390684.1	spoIIB	1	1
1831	EO946_RS13840	WP_003222602.1	maf	BSU_28050	NP_390683.1	maf	1	1
1832	EO946_RS13835	WP_003222604.1	NA	BSU_28040	NP_390682.1	ysxA	1	1
1833	EO946_RS13830	WP_003222607.1	mreB	BSU_28030	NP_390681.2	mreB	1	3
1834	EO946_RS13825	WP_003222609.1	mreC	BSU_28020	NP_390680.2	mreC	1	1
1835	EO946_RS13820	WP_003222611.1	mreD	BSU_28010	NP_390679.1	mreD	1	1
1836	EO946_RS13815	WP_003222613.1	minC	BSU_28000	NP_390678.1	minC	1	1
1837	EO946_RS13810	WP_003222614.1	minD	BSU_27990	NP_390677.1	minD	1	4
1838	EO946_RS13805	WP_003222616.1	NA	BSU_27980	NP_390676.1	spoIVFA	1	1
1839	EO946_RS13800	WP_003222618.1	NA	BSU_27970	NP_390675.1	spoIVFB	1	1
1840	EO946_RS13795	WP_003222620.1	rplU	BSU_27960	NP_390674.1	rplU	1	1
1841	EO946_RS13785	WP_003222623.1	NA	BSU_27940	NP_390672.1	rpmA	1	1
1842	EO946_RS13775	WP_003222627.1	NA	BSU_27930	NP_390671.1	spo0B	1	1
1843	EO946_RS13770	WP_003222628.1	obgE	BSU_27920	NP_390670.1	obgE	1	1
1844	EO946_RS13765	WP_003222630.1	NA	BSU_27910	NP_390669.1	thrR	1	1
1845	EO946_RS13760	WP_003222633.1	pheA	BSU_27900	NP_390668.1	pheA	1	1
1846	EO946_RS13755	WP_003222637.1	NA	BSU_27890	NP_390667.2	niaR	1	1
1847	EO946_RS13750	WP_003222638.1	NA	BSU_27880	NP_390666.1	nifS	1	4
1848	EO946_RS13745	WP_003222640.1	nadB	BSU_27870	NP_390665.1	nadB	1	2
1849	EO946_RS13740	WP_003222641.1	nadC	BSU_27860	NP_390664.1	nadC	1	1
1850	EO946_RS13735	WP_003222642.1	nadA	BSU_27850	NP_390663.1	nadA	1	1
1851	EO946_RS13730	WP_003222644.1	safA	BSU_27840	NP_390662.1	safA	1	1
1852	EO946_RS13725	WP_003222646.1	NA	BSU_27830	NP_390661.2	sgpA	1	1
1853	EO946_RS13720	WP_003222648.1	NA	BSU_27820	NP_390660.1	yrbC	1	2
1854	EO946_RS13715	WP_003222650.1	NA	BSU_27810	NP_390659.2	alaP	1	3
1855	EO946_RS13710	WP_003222653.1	NA	BSU_27786	YP_009513992.1	NA	1	1
1856	EO946_RS13705	WP_003222655.1	NA	BSU_27785	NP_390656.2	yrzF	1	1
1857	EO946_RS13700	WP_003222657.1	iolG	BSU_27770	NP_390655.1	yrbE	1	5
1858	EO946_RS13695	WP_003222660.1	NA	BSU_27760	NP_390654.2	csbX	1	2
1859	EO946_RS13690	WP_003222663.1	NA	BSU_27750	NP_390653.1	bofC	1	1
1860	EO946_RS13685	WP_003222665.1	ruvA	BSU_27740	NP_390652.1	ruvA	1	1
1861	EO946_RS13680	WP_003222667.1	ruvB	BSU_27730	YP_054590.1	ruvB	1	1
1862	EO946_RS13675	WP_003222669.1	NA	BSU_27729	YP_003097768.1	yrzS	1	1
1863	EO946_RS13670	WP_003222672.1	queA	BSU_27720	NP_390650.1	queA	1	1
1864	EO946_RS13665	WP_003222675.1	tgt	BSU_27710	NP_390649.1	tgt	1	1
1865	EO946_RS13660	WP_003222677.1	yajC	BSU_27700	NP_390648.2	yrbF	1	1
1866	EO946_RS13655	WP_003222679.1	NA	BSU_27690	NP_390647.1	yrzE	1	1
1867	EO946_RS13650	WP_003222681.1	NA	BSU_27680	NP_390646.1	yrbG	1	4
1868	EO946_RS13645	WP_003222683.1	spoVB	BSU_27670	NP_390645.1	spoVB	1	4
1869	EO946_RS13640	WP_003222684.1	NA	BSU_27660	NP_390644.1	comN	1	1
1870	EO946_RS13635	WP_003222686.1	secDF	BSU_27650	NP_390643.1	secDF	1	1
1871	EO946_RS13630	WP_003222688.1	NA	BSU_27640	NP_390642.1	yrvC	1	2
1872	EO946_RS13625	WP_003222691.1	NA	BSU_27630	NP_390641.1	yrvD	1	1
1873	EO946_RS13620	WP_003222692.1	recJ	BSU_27620	NP_390640.1	recJ	1	1
1874	EO946_RS13615	WP_003222694.1	NA	BSU_27610	NP_390639.1	apt	1	2
1875	EO946_RS13610	WP_003222696.1	relA	BSU_27600	NP_390638.2	rsh	1	1
1876	EO946_RS13605	WP_003222698.1	dtd	BSU_27590	NP_390637.2	dtd	1	1
1877	EO946_RS13600	WP_003222700.1	NA	BSU_27580	NP_390636.1	yrvJ	1	1
1878	EO946_RS13595	WP_003222701.1	NA	BSU_27570	NP_390635.1	yrzK	1	1
1879	EO946_RS13590	WP_003222705.1	NA	BSU_27560	NP_390634.1	hisS	1	2
1880	EO946_RS13585	WP_003222706.1	aspS	BSU_27550	NP_390633.1	aspS	1	1
1881	EO946_RS13575	WP_003222707.1	NA	BSU_27540	NP_390632.3	tcdA	1	1
1882	EO946_RS15445	WP_003222724.1	NA	BSU_31000	NP_390978.1	yuaI	1	1
1883	EO946_RS15450	WP_003222726.1	NA	BSU_31010	NP_390979.1	floT	1	1
1884	EO946_RS15455	WP_003222729.1	NA	BSU_31020	NP_390980.1	nfeDB	1	1
1885	EO946_RS15460	WP_003222731.1	NA	BSU_31030	NP_390981.1	yuaE	1	1
1886	EO946_RS15465	WP_003222733.1	NA	BSU_31040	NP_390982.1	yuaD	1	1
1887	EO946_RS15470	WP_003222735.1	NA	BSU_31050	NP_390983.2	gbsB	1	3
1888	EO946_RS15475	WP_003222737.1	betB	BSU_31060	NP_390984.1	gbsA	1	11
1889	EO946_RS15480	WP_003222739.1	NA	BSU_31070	NP_390985.1	gbsR	1	3
1890	EO946_RS15485	WP_003222741.1	NA	BSU_31080	NP_390986.1	bslA	1	2
1891	EO946_RS15490	WP_003222743.1	NA	BSU_31090	NP_390987.1	ktrA	1	2
1892	EO946_RS16495	WP_003222755.1	NA	BSU_32920	NP_391171.1	yusT	1	18
1893	EO946_RS16490	WP_003222758.1	NA	BSU_15910	NP_389473.1	fabG	0	27
1894	EO946_RS16485	WP_003222760.1	NA	BSU_32890	NP_391168.1	yusQ	1	3
1895	EO946_RS16480	WP_003222761.1	NA	BSU_32880	NP_391167.1	mdtP	1	10
1896	EO946_RS16475	WP_003222763.1	NA	BSU_32870	NP_391166.1	mdtR	1	5
1897	EO946_RS16470	WP_003222766.1	NA	BSU_32860	NP_391165.1	yusN	1	1
1898	EO946_RS16465	WP_003222768.1	NA	BSU_32859	YP_003097784.1	yuzM	1	1
1899	EO946_RS16460	WP_003222771.1	NA	BSU_32850	NP_391164.1	putM	1	2
1900	EO946_RS16455	WP_003222772.1	NA	BSU_32849	YP_003097783.1	yuzL	1	1
1901	EO946_RS16450	WP_003222774.1	NA	BSU_32840	NP_391163.2	fadN	1	1
1902	EO946_RS16445	WP_003222776.1	NA	BSU_32830	NP_391162.1	fadA	1	3
1903	EO946_RS16440	WP_003222778.1	NA	BSU_32820	NP_391161.1	fadE	1	1
1904	EO946_RS16435	WP_003222779.1	NA	BSU_32810	NP_391160.1	yusI	1	3
1905	EO946_RS16430	WP_003222781.1	gcvH	BSU_32800	NP_391159.1	gcvH	1	1
1906	EO946_RS16425	WP_003222783.1	NA	BSU_32790	NP_391158.1	yusG	1	1
1907	EO946_RS16420	WP_003222785.1	NA	BSU_32780	NP_391157.1	yusF	1	1
1908	EO946_RS16415	WP_003222787.1	NA	BSU_32770	NP_391156.1	yusE	1	2
1909	EO946_RS16410	WP_003222789.1	NA	BSU_32760	NP_391155.1	yusD	1	1
1910	EO946_RS16405	WP_003222791.1	NA	BSU_32750	NP_391154.1	metN	1	22
1911	EO946_RS16400	WP_003222793.1	NA	BSU_32740	NP_391153.1	metP	1	12
1912	EO946_RS16395	WP_003222794.1	NA	BSU_32730	NP_391152.1	metQ	1	2
1913	EO946_RS16390	WP_003222796.1	NA	BSU_32720	NP_391151.1	yurZ	1	1
1914	EO946_RS16385	WP_003222797.1	NA	BSU_32719	YP_003097782.1	yuzK	1	1
1915	EO946_RS16375	WP_003222801.1	sufC	BSU_32710	NP_391150.1	sufC	1	56
1916	EO946_RS16370	WP_003222803.1	sufD	BSU_32700	NP_391149.1	sufD	1	2
1917	EO946_RS16365	WP_003222805.1	sufS	BSU_32690	NP_391148.1	sufS	1	5
1918	EO946_RS16360	WP_003222809.1	sufU	BSU_32680	NP_391147.1	sufU	1	1
1919	EO946_RS16355	WP_003222811.1	sufB	BSU_32670	NP_391146.1	sufB	1	2
1920	EO946_RS16350	WP_003222813.1	NA	BSU_32669	YP_003097781.1	yuzN	1	2
1921	EO946_RS16345	WP_003222815.1	NA	BSU_32660	NP_391145.1	glxB	1	2
1922	EO946_RS16340	WP_003222817.1	NA	BSU_32650	NP_391144.1	yurS	1	1
1923	EO946_RS16335	WP_003222818.1	NA	BSU_32640	YP_054592.1	sspG	1	1
1924	EO946_RS16330	WP_003222821.1	NA	BSU_32630	NP_391143.1	dadA	1	2
1925	EO946_RS16325	WP_003222823.1	NA	BSU_32620	NP_391142.1	yurQ	1	1
1926	EO946_RS16320	WP_003222825.1	NA	BSU_32610	NP_391141.1	frlB	1	1
1927	EO946_RS16315	WP_003222827.1	NA	BSU_32600	NP_391140.1	frlO	1	5
1928	EO946_RS16310	WP_003222831.1	NA	BSU_32590	NP_391139.1	frlN	1	8
1929	EO946_RS16305	WP_003222834.1	NA	BSU_32580	NP_391138.1	frlM	1	7
1930	EO946_RS16300	WP_003222836.1	NA	BSU_32570	NP_391137.1	frlD	1	4
1931	EO946_RS16295	WP_003222838.1	phoB	BSU_32560	NP_391136.3	frlR	1	6
1932	EO946_RS16290	WP_003222840.1	ugpC	BSU_32550	NP_391135.1	frlP	1	2
1933	EO946_RS16285	WP_003222841.1	NA	BSU_32540	NP_391134.1	bsnA	1	1
1934	EO946_RS16275	WP_003222844.1	allC	BSU_32530	NP_391133.1	pucF	1	1
1935	EO946_RS16265	WP_003222847.1	NA	BSU_32510	NP_391131.1	pucA	1	1
1936	EO946_RS16260	WP_003222849.1	pucB	BSU_32500	NP_391130.2	pucB	1	1
1937	EO946_RS16255	WP_003222851.1	pucC	BSU_32490	NP_391129.1	pucC	1	1
1938	EO946_RS16250	WP_003222853.1	pucD	BSU_32480	NP_391128.1	pucD	1	1
1939	EO946_RS16245	WP_003222855.1	pucE	BSU_32470	NP_391127.1	pucE	1	1
1940	EO946_RS16240	WP_003222857.1	NA	BSU_03788	YP_003097676.1	yczM	0	3
1941	EO946_RS16230	WP_003222860.1	uraH	BSU_32460	NP_391126.2	pucM	1	1
1942	EO946_RS16225	WP_003222862.1	pucL	BSU_32450	NP_391125.1	pucL	1	1
1943	EO946_RS16220	WP_003222864.1	NA	BSU_32440	NP_391124.1	pucK	1	5
1944	EO946_RS16210	WP_003222868.1	NA	BSU_32420	NP_391122.1	pucR	1	1
1945	EO946_RS16205	WP_003222870.1	NA	BSU_32410	NP_391121.1	pucH	1	2
1946	EO946_RS16200	WP_003222872.1	NA	BSU_32400	NP_391120.1	yunG	1	1
1947	EO946_RS16195	WP_003222874.1	NA	BSU_32390	NP_391119.2	yunF	1	1
1948	EO946_RS16190	WP_003222876.1	NA	BSU_32380	NP_391118.1	yunE	1	4
1949	EO946_RS16185	WP_003222879.1	NA	BSU_32370	NP_391117.1	yunD	1	4
1950	EO946_RS16180	WP_003222881.1	NA	BSU_32360	NP_391116.1	yunC	1	1
1951	EO946_RS16175	WP_003222883.1	yunB	BSU_32350	NP_391115.1	fisB	1	1
1952	EO946_RS16165	WP_003222888.1	lipA	BSU_32330	NP_391113.2	lipA	1	1
1953	EO946_RS16160	WP_003222889.1	NA	BSU_32320	NP_391112.1	yutC	1	1
1954	EO946_RS16155	WP_003222892.1	NA	BSU_32310	NP_391111.2	yutD	1	1
1955	EO946_RS16150	WP_003222894.1	NA	BSU_32300	NP_391110.1	yutE	1	1
1956	EO946_RS16145	WP_003222896.1	NA	BSU_32290	NP_391109.1	nucF	1	2
1957	EO946_RS16140	WP_003222898.1	NA	BSU_32280	NP_391108.1	yutG	1	2
1958	EO946_RS16130	WP_003222901.1	NA	BSU_32260	NP_391106.1	hom	1	1
1959	EO946_RS16125	WP_003222903.1	NA	BSU_32250	NP_391105.1	thrC	1	3
1960	EO946_RS16120	WP_003222905.1	NA	BSU_32240	NP_391104.1	thrB	1	1
1961	EO946_RS16115	WP_003222907.1	NA	BSU_32230	NP_391103.2	yuxL	1	1
1962	EO946_RS16105	WP_003222909.1	NA	BSU_32210	NP_391101.1	yuzD	1	1
1963	EO946_RS16100	WP_003222911.1	NA	BSU_32200	NP_391100.2	yutJ	1	4
1964	EO946_RS16095	WP_003222913.1	NA	BSU_32190	NP_391099.1	yuzB	1	1
1965	EO946_RS16090	WP_003222915.1	NA	BSU_32180	NP_391098.1	yutK	1	3
1966	EO946_RS16085	WP_003222916.1	NA	BSU_32170	NP_391097.1	dapF	1	1
1967	EO946_RS16080	WP_003222918.1	NA	BSU_32160	NP_391096.1	sufA	1	1
1969	EO946_RS16070	WP_003222921.1	NA	BSU_32150	NP_391095.1	paiA	1	2
1970	EO946_RS16060	WP_003222923.1	NA	BSU_32140	NP_391094.2	paiB	0	1
1971	EO946_RS16040	WP_003222932.1	NA	BSU_08310	NP_388712.2	bifL	0	85
1972	EO946_RS03935	WP_003222959.1	NA	BSU_24760	NP_390356.2	rsbRD	0	4
1973	EO946_RS03940	WP_003222961.1	NA	BSU_07190	NP_388600.1	yezD	1	1
1974	EO946_RS03945	WP_003222963.1	NA	BSU_07200	NP_388601.1	calJ	1	1
1975	EO946_RS03950	WP_003222965.1	NA	BSU_07220	NP_388603.1	flvL	1	6
1976	EO946_RS03955	WP_003222967.1	NA	BSU_07230	NP_388604.1	flvM	1	2
1977	EO946_RS03960	WP_003222970.1	NA	BSU_07240	NP_388605.1	yetN	1	1
1978	EO946_RS03965	WP_003222972.1	NA	BSU_07250	NP_388606.1	cypD	1	2
1979	EO946_RS03970	WP_003222974.1	NA	BSU_07260	NP_388607.2	ltaSA	1	4
1980	EO946_RS03975	WP_003222976.1	NA	BSU_07270	NP_388608.1	spmH	1	5
1981	EO946_RS03985	WP_003222980.1	NA	BSU_07290	NP_388610.1	yfnF	1	2
1982	EO946_RS03990	WP_003222982.1	NA	BSU_07300	NP_388611.1	yfnE	1	1
1983	EO946_RS03995	WP_003222984.1	NA	BSU_07310	NP_388612.1	yfnD	1	2
1984	EO946_RS04000	WP_003222986.1	NA	BSU_07320	NP_388613.1	yfnC	1	1
1985	EO946_RS04005	WP_003222990.1	NA	BSU_07330	NP_388614.1	pynN	1	1
1986	EO946_RS04010	WP_003222993.1	NA	BSU_07340	NP_388615.1	mtrA	1	16
1987	EO946_RS04015	WP_003222995.1	NA	BSU_07350	NP_388616.1	vdhT	1	11
1988	EO946_RS04025	WP_003222998.1	NA	BSU_07370	NP_388618.1	ettA	1	31
1989	EO946_RS04030	WP_003223000.1	NA	BSU_07380	NP_388619.1	yfmQ	1	1
1990	EO946_RS04035	WP_003223002.1	NA	BSU_07390	NP_388620.1	copP	1	3
1991	EO946_RS04040	WP_003223003.1	NA	BSU_07400	NP_388621.1	copO	1	5
1992	EO946_RS04050	WP_003223006.1	NA	BSU_07420	NP_388623.2	ettM	1	91
1993	EO946_RS04055	WP_003223008.1	NA	BSU_07430	NP_388624.1	yfmL	1	7
1994	EO946_RS04060	WP_003223010.1	NA	BSU_07440	NP_388625.1	yfmK	1	1
1995	EO946_RS04065	WP_003223012.1	NA	BSU_07450	NP_388626.1	yfmJ	1	1
1996	EO946_RS04070	WP_003223014.1	NA	BSU_07490	NP_388630.1	fecF	1	80
1997	EO946_RS04075	WP_003223016.1	NA	BSU_07500	NP_388631.1	fecE	1	11
1998	EO946_RS04080	WP_003223017.1	NA	BSU_07510	NP_388632.1	fecD	1	11
1999	EO946_RS04085	WP_003223018.1	NA	BSU_07520	NP_388633.1	fecC	1	7
2000	EO946_RS04090	WP_003223021.1	NA	BSU_07530	NP_388634.1	yfmB	1	1
2001	EO946_RS04095	WP_003223026.1	NA	BSU_07550	NP_388636.1	yflT	1	1
2002	EO946_RS04100	WP_003223028.1	NA	BSU_07560	NP_388637.1	pelA	1	1
2003	EO946_RS04105	WP_003223030.1	NA	BSU_07570	NP_388638.1	maeS	1	1
2004	EO946_RS04110	WP_003223032.1	NA	BSU_07580	NP_388639.1	citS	1	3
2005	EO946_RS04115	WP_003223045.1	NA	BSU_07590	NP_388640.1	citT	1	9
2006	EO946_RS04120	WP_003223047.1	NA	BSU_07600	NP_388641.2	yflP	1	1
2007	EO946_RS04125	WP_003223049.1	NA	BSU_07610	NP_388642.1	citM	1	3
2008	EO946_RS04130	WP_003223050.1	NA	BSU_07620	NP_388643.1	yflN	1	2
2009	EO946_RS04135	WP_003223052.1	NA	BSU_07630	NP_388644.2	nosA	1	1
2010	EO946_RS04145	WP_003223057.1	NA	BSU_07650	NP_388646.1	yflK	1	1
2011	EO946_RS04150	WP_003223059.1	NA	BSU_07660	NP_388647.1	yflJ	1	1
2012	EO946_RS04160	WP_003223064.1	NA	BSU_07680	NP_388649.1	yflH	1	2
2013	EO946_RS04165	WP_003223067.1	map	BSU_07690	NP_388650.1	mapB	1	3
2014	EO946_RS04170	WP_003223069.1	NA	BSU_07700	NP_388651.1	nagP	1	4
2015	EO946_RS04175	WP_003223071.1	NA	BSU_07710	NP_388652.1	ltaSB	1	4
2016	EO946_RS04185	WP_003223073.1	NA	BSU_07735	NP_388655.2	yflB	1	1
2017	EO946_RS04195	WP_003223078.1	NA	BSU_07760	NP_388657.1	yfkT	1	3
2018	EO946_RS04200	WP_003223081.1	NA	BSU_07770	NP_388658.1	yfkS	1	1
2019	EO946_RS04205	WP_003223084.1	NA	BSU_07780	NP_388659.1	yfkR	1	5
2020	EO946_RS04210	WP_003223086.1	NA	BSU_07790	NP_388660.1	yfkQ	1	6
2021	EO946_RS04215	WP_003223088.1	treB	BSU_07800	NP_388661.1	treP	1	6
2022	EO946_RS04220	WP_003223091.1	treC	BSU_07810	NP_388662.1	treA	1	4
2023	EO946_RS04225	WP_003223094.1	treR	BSU_07820	NP_388663.1	treR	1	6
2024	EO946_RS04230	WP_003223097.1	NA	BSU_07830	NP_388664.1	hypO	1	4
2025	EO946_RS04240	WP_003223100.1	NA	BSU_07850	NP_388666.1	sufLB	1	2
2026	EO946_RS04245	WP_003223102.1	NA	BSU_07860	NP_388667.1	yfkL	1	1
2027	EO946_RS04250	WP_003223104.1	NA	BSU_07870	NP_388668.1	yfkK	1	1
2028	EO946_RS04255	WP_003223106.1	NA	BSU_07880	NP_388669.1	yfkJ	1	2
2029	EO946_RS04260	WP_003223108.1	NA	BSU_07890	NP_388670.1	yfkI	1	1
2030	EO946_RS04265	WP_003223110.1	NA	BSU_07900	NP_388671.1	rbn	1	1
2031	EO946_RS04270	WP_003223114.1	NA	BSU_07910	NP_388672.1	yfkF	1	4
2032	EO946_RS04275	WP_003223116.1	cax	BSU_07920	NP_388673.1	chaA	1	1
2033	EO946_RS04290	WP_003223122.1	yfkAB	BSU_07955	NP_388677.2	yfkA	1	1
2034	EO946_RS04295	WP_003223132.1	NA	BSU_07970	NP_388678.1	yfjT	1	1
2035	EO946_RS04300	WP_003223134.1	pdaA	BSU_07980	NP_388679.1	pdaA	1	5
2036	EO946_RS04305	WP_003223135.1	NA	BSU_07990	NP_388680.2	yfjR	1	3
2037	EO946_RS04310	WP_003223137.1	corA	BSU_08000	NP_388681.1	yfjQ	1	2
2038	EO946_RS04325	WP_003223145.1	rlmD	BSU_08020	NP_388683.1	yfjO	1	2
2039	EO946_RS04330	WP_003223147.1	NA	BSU_08030	NP_388684.1	dusC	1	2
2040	EO946_RS04335	WP_003223149.1	NA	BSU_18530	NP_389735.2	yoaA	0	6
2041	EO946_RS04340	WP_003223151.1	NA	BSU_08040	NP_388685.1	yfjM	1	1
2042	EO946_RS04345	WP_003223153.1	NA	BSU_08050	NP_388686.1	yfjL	1	1
2043	EO946_RS04350	WP_003223155.1	acoA	BSU_08060	NP_388687.1	acoA	1	3
2044	EO946_RS04355	WP_003223157.1	acoB	BSU_08070	NP_388688.1	acoB	1	4
2045	EO946_RS04360	WP_003223160.1	NA	BSU_08080	NP_388689.1	acoC	1	4
2046	EO946_RS04365	WP_003223163.1	lpdA	BSU_08090	NP_388690.1	acoL	1	3
2047	EO946_RS04370	WP_003223165.1	NA	BSU_08100	NP_388691.1	acoR	1	1
2048	EO946_RS04375	WP_003223168.1	NA	BSU_08110	NP_388692.1	sspH	1	1
2049	EO946_RS04390	WP_003223173.1	NA	BSU_08150	NP_388696.1	yfjC	1	1
2050	EO946_RS04395	WP_003223175.1	NA	BSU_08160	NP_388697.1	yfjB	1	1
2051	EO946_RS04400	WP_003223177.1	NA	BSU_08170	NP_388698.1	yfjA	1	1
2052	EO946_RS04405	WP_003223179.1	NA	BSU_08180	NP_388699.1	malA	1	4
2053	EO946_RS04410	WP_003223180.1	NA	BSU_08190	NP_388700.1	malR	1	2
2054	EO946_RS04415	WP_003223182.1	NA	BSU_08200	NP_388701.1	malP	1	4
2055	EO946_RS04420	WP_003223184.1	NA	BSU_08210	NP_388702.1	yfiB	1	9
2056	EO946_RS04425	WP_003223186.1	NA	BSU_08220	NP_388703.1	yfiC	1	12
2057	EO946_RS04430	WP_003223188.1	NA	BSU_08230	NP_388704.1	catD	1	2
2058	EO946_RS04435	WP_003223190.1	NA	BSU_08240	NP_388705.2	catE	1	1
2059	EO946_RS04445	WP_003223194.1	NA	BSU_08300	NP_388711.1	linK	1	12
2060	EO946_RS04450	WP_003223195.1	NA	BSU_08310	NP_388712.2	bifL	1	21
2061	EO946_RS04455	WP_003223197.1	NA	BSU_08320	NP_388713.1	bifM	1	2
2062	EO946_RS04460	WP_003223199.1	NA	BSU_08330	NP_388714.1	bifN	1	2
2063	EO946_RS04465	WP_003223201.1	NA	BSU_17520	NP_389634.1	ynaD	0	2
2064	EO946_RS04470	WP_003223204.1	NA	BSU_08340	NP_388715.1	padR	1	1
2065	EO946_RS04475	WP_003223205.1	NA	BSU_08350	NP_388716.1	estB	1	2
2066	EO946_RS04480	WP_003223207.1	NA	BSU_08360	NP_388717.1	icaC	1	1
2067	EO946_RS04485	WP_003223209.1	NA	BSU_08390	NP_388720.1	bstA	1	1
2068	EO946_RS04490	WP_003223212.1	NA	BSU_08400	NP_388721.1	yfiU	1	8
2069	EO946_RS04495	WP_003223214.1	NA	BSU_08410	NP_388722.1	yfiV	1	3
2070	EO946_RS04500	WP_003223215.1	mprF	BSU_08425	YP_003097695.1	mprF	1	1
2071	EO946_RS04505	WP_003223217.1	NA	BSU_08440	NP_388725.1	sxzY	1	7
2072	EO946_RS04510	WP_003223218.1	NA	BSU_08450	NP_388726.1	sxzZ	1	11
2073	EO946_RS04515	WP_003223220.1	NA	BSU_08460	NP_388727.1	sxzA	1	10
2074	EO946_RS04525	WP_003223222.1	NA	BSU_08480	NP_388729.1	yfhC	1	1
2075	EO946_RS04530	WP_003223225.1	NA	BSU_08490	NP_388730.1	yfhD	1	1
2076	EO946_RS04535	WP_003223230.1	NA	BSU_08500	NP_388731.1	yfhE	1	1
2077	EO946_RS04540	WP_003223231.1	NA	BSU_08510	NP_388732.1	yfhF	1	1
2078	EO946_RS04545	WP_003223233.1	recX	BSU_08520	NP_388733.1	recX	1	1
2079	EO946_RS04550	WP_003223235.1	NA	BSU_08530	NP_388734.1	yfhH	1	1
2080	EO946_RS04560	WP_003223237.1	NA	BSU_08540	NP_388735.1	yfhI	1	5
2081	EO946_RS04565	WP_003223241.1	NA	BSU_08550	YP_054573.1	sspK	1	1
2082	EO946_RS04570	WP_003223243.1	NA	BSU_08560	NP_388736.1	yfhJ	1	1
2083	EO946_RS04575	WP_003223245.1	NA	BSU_08570	NP_388737.1	yfhK	1	2
2084	EO946_RS04585	WP_003223248.1	NA	BSU_08590	NP_388739.1	ephM	1	3
2085	EO946_RS04590	WP_003223250.1	NA	BSU_08600	NP_388740.1	csbB	1	3
2086	EO946_RS04595	WP_003223251.1	NA	BSU_08610	NP_388741.2	yfhO	1	1
2087	EO946_RS04600	WP_003223253.1	NA	BSU_08620	NP_388742.1	yfhP	1	1
2088	EO946_RS04605	WP_003223255.1	mutY	BSU_08630	NP_388743.1	mutY	1	1
2089	EO946_RS04610	WP_003223257.1	NA	BSU_08640	NP_388744.1	yfhS	1	1
